TargetName	HUGOSymbol	TargetGroup	AnalyteType	CodeClass
CAMP	CAMP	All Probes;Signaling by EGFR	RNA	Endogenous
LTA	LTA	All Probes;Signaling by EGFR	RNA	Endogenous
ST6GAL1	ST6GAL1	All Probes;Signaling by EGFR	RNA	Endogenous
HLA-DQB1	HLA-DQB1	All Probes;Signaling by EGFR	RNA	Endogenous
PLA2G3	PLA2G3	All Probes;Signaling by EGFR	RNA	Endogenous
PDGFD	PDGFD	All Probes;Signaling by EGFR	RNA	Endogenous
BMP8A	BMP8A	All Probes;Signaling by EGFR	RNA	Endogenous
FANCB	FANCB	All Probes;Signaling by EGFR	RNA	Endogenous
IRF1	IRF1	All Probes;Signaling by EGFR	RNA	Endogenous
CCL1	CCL1	All Probes;Signaling by EGFR	RNA	Endogenous
ATF3	ATF3	All Probes;Signaling by EGFR	RNA	Endogenous
CSF2RB	"CSF2RB,CDT1"	All Probes	RNA	Endogenous
RASGRP1	RASGRP1	All Probes;Signaling by EGFR	RNA	Endogenous
LAMA1	LAMA1	All Probes;Signaling by EGFR	RNA	Endogenous
CCR3	CCR3	All Probes;Signaling by EGFR	RNA	Endogenous
COL1A1	COL1A1	All Probes;Signaling by EGFR	RNA	Endogenous
SPA17	SPA17	All Probes;Signaling by EGFR	RNA	Endogenous
CCRL2	CCRL2	All Probes	RNA	Endogenous
CXXC4	CXXC4	All Probes	RNA	Endogenous
KRT14	KRT14	All Probes	RNA	Endogenous
CTLA4	CTLA4	All Probes	RNA	Endogenous
PHF6	PHF6	All Probes	RNA	Endogenous
NRDE2	NRDE2	All Probes	RNA	Endogenous
KIF2C	KIF2C	All Probes	RNA	Endogenous
TSPAN7	TSPAN7	All Probes	RNA	Endogenous
TCF7	TCF7	All Probes	RNA	Endogenous
BAX	BAX	All Probes	RNA	Endogenous
CD24	CD24	All Probes	RNA	Endogenous
ENO1	ENO1	All Probes	RNA	Endogenous
PLA2G5	PLA2G5	All Probes	RNA	Endogenous
MERTK	MERTK	All Probes	RNA	Endogenous
CEBPE	CEBPE	All Probes	RNA	Endogenous
IRAK1	IRAK1	All Probes	RNA	Endogenous
HLA-DRB	"HLA-DRB3,HLA-DRB1"	All Probes	RNA	Endogenous
CXCL3	CXCL3	All Probes	RNA	Endogenous
CSF3R	CSF3R	All Probes	RNA	Endogenous
WNT3	WNT3	All Probes	RNA	Endogenous
IFNAR1	IFNAR1	All Probes	RNA	Endogenous
PCNA	PCNA	All Probes	RNA	Endogenous
STAT1	STAT1	All Probes	RNA	Endogenous
ITGB7	ITGB7	All Probes	RNA	Endogenous
PRKCD	PRKCD	All Probes	RNA	Endogenous
SOX2	SOX2	All Probes	RNA	Endogenous
WNT2B	WNT2B	All Probes	RNA	Endogenous
TNFRSF1B	TNFRSF1B	All Probes	RNA	Endogenous
POLD4	POLD4	All Probes	RNA	Endogenous
FAM30A	FAM30A	All Probes	RNA	Endogenous
IL18R1	IL18R1	All Probes	RNA	Endogenous
SOX10	SOX10	All Probes	RNA	Endogenous
CD200	CD200	All Probes	RNA	Endogenous
SELE	SELE	All Probes	RNA	Endogenous
STAT3	STAT3	All Probes	RNA	Endogenous
CCL16	CCL16	All Probes	RNA	Endogenous
CCL26	CCL26	All Probes	RNA	Endogenous
MS4A1	MS4A1	All Probes	RNA	Endogenous
PLOD2	PLOD2	All Probes	RNA	Endogenous
TNFSF13B	TNFSF13B	All Probes	RNA	Endogenous
RNLS	RNLS	All Probes	RNA	Endogenous
SNCA	SNCA	All Probes	RNA	Endogenous
KLRF1	KLRF1	All Probes	RNA	Endogenous
FCN1	FCN1	All Probes	RNA	Endogenous
MRC1	MRC1	All Probes	RNA	Endogenous
TNFRSF1A	TNFRSF1A	All Probes	RNA	Endogenous
MSR1	MSR1	All Probes	RNA	Endogenous
GAGE1	GAGE1	All Probes	RNA	Endogenous
FGF2	FGF2	All Probes	RNA	Endogenous
RIPK2	RIPK2	All Probes	RNA	Endogenous
RAF1	RAF1	All Probes	RNA	Endogenous
DNMT1	DNMT1	All Probes	RNA	Endogenous
CD81	CD81	All Probes	RNA	Endogenous
SPIB	SPIB	All Probes	RNA	Endogenous
RBX1	RBX1	All Probes	RNA	Endogenous
COL6A3	COL6A3	All Probes	RNA	Endogenous
SOX11	SOX11	All Probes	RNA	Endogenous
LDHA	LDHA	All Probes	RNA	Endogenous
RNF43	RNF43	All Probes	RNA	Endogenous
POLR2H	POLR2H	All Probes	RNA	Endogenous
ERO1A	ERO1A	All Probes	RNA	Endogenous
RIPK1	RIPK1	All Probes	RNA	Endogenous
CEACAM6	CEACAM6	All Probes	RNA	Endogenous
NFKB1	NFKB1	All Probes	RNA	Endogenous
IL11	IL11	All Probes	RNA	Endogenous
IL11RA	IL11RA	All Probes	RNA	Endogenous
ICAM5	ICAM5	All Probes	RNA	Endogenous
SFRP4	SFRP4	All Probes	RNA	Endogenous
IFIH1	IFIH1	All Probes	RNA	Endogenous
IFNGR2	IFNGR2	All Probes	RNA	Endogenous
EFNA5	EFNA5	All Probes	RNA	Endogenous
WNT4	WNT4	All Probes	RNA	Endogenous
WNT7B	WNT7B	All Probes	RNA	Endogenous
IL20RA	IL20RA	All Probes	RNA	Endogenous
NKG7	NKG7	All Probes	RNA	Endogenous
MAF	MAF	All Probes	RNA	Endogenous
FLNB	FLNB	All Probes	RNA	Endogenous
KLRB1	KLRB1	All Probes	RNA	Endogenous
CLECL1	CLECL1	All Probes	RNA	Endogenous
SKP2	SKP2	All Probes	RNA	Endogenous
