Gene	CCRF-CEM_1	CCRF-CEM_2	CCRF-CEM_33	CCRF-CEM_34	CCRF-CEM_35	CCRF-CEM_36	CCRF-CEM_37	CCRF-CEM_38	CCRF-CEM_39	CCRF-CEM_40	CCRF-CEM_41	CCRF-CEM_60	CCRF-CEM_61	CCRF-CEM_86	CCRF-CEM_87	CCRF-CEM_88	CCRF-CEM_89	CCRF-CEM_90	CCRF-CEM_91	CCRF-CEM_92	CCRF-CEM_93	CCRF-CEM_94	H596_17	H596_18	H596_76	H596_77	HUH7_10	HUH7_68	HUH7_69	HUH7_9	HUT78_66	HUT78_67	HUT78_7	HUT78_8	MDAMB468_5	MDAMB468_6	MDAMB468_64	MDAMB468_65	OVCAR8_3	OVCAR8_4	OVCAR8_42	OVCAR8_43	OVCAR8_44	OVCAR8_45	OVCAR8_46	OVCAR8_47	OVCAR8_48	OVCAR8_49	OVCAR8_50	OVCAR8_62	OVCAR8_63	Raji_21	Raji_22	Raji_80	Raji_81	SF9_23	SF9_24	SF9_82	SF9_83	SKBR3_19	SKBR3_20	SKBR3_78	SKBR3_79	SKMEL5_15	SKMEL5_16	SKMEL5_51	SKMEL5_52	SKMEL5_53	SKMEL5_54	SKMEL5_55	SKMEL5_56	SKMEL5_57	SKMEL5_58	SKMEL5_59	SKMEL5_74	SKMEL5_75	Spleen_31	Spleen_32	Spleen_84	Spleen_85	SUDHL1_13	SUDHL1_14	SUDHL1_72	SUDHL1_73	SUDHL4_11	SUDHL4_12	SUDHL4_70	SUDHL4_71	Tonsil_25	Tonsil_26	Tonsil_27	Tonsil_28	Tonsil_29	Tonsil_30
A2M	15.0143021404505	1.31739368404873	1	1.42063464808146	1.18920711500272	1	1	1.65880298200689	1	1.31607401295249	5.4706684521568	20.3507374061404	1.32811408933607	1	1.27693883598333	1.35913018686991	2.25452920691539	1	1	1.23772628530543	1.400849687129	1	10.6488164973029	1	9.96537672148279	1	141.135250627104	2313.22140857089	128.413552953475	2431.80622672723	15.6748211109364	1	20.1239150692575	1	292.815723059999	12.3763431442468	260.98565942351	9.56976801744266	17.8775633854008	1.27693883598333	1	1.48312459530095	1.25992104989487	1	1	1	4.88759968069687	1.42063464808146	1	15.942481640362	1.38954216730578	20.695323535385	1	17.2576452217651	1	4.37477158392144	1	5.16423315952594	1	9.02639374850479	1	11.209758838648	1	623.409732096176	37.2361833783116	31.9434816582308	43.5911612261973	52.477329683624	29.7591527572026	25.2420116039058	14.3771477890031	30.6380814385066	20.5096971094665	22.9680314601186	651.458921241244	21.8322570295307	19.8572022917039	1.42063464808146	8.85180138852976	1.91943055019279	24.9727026443189	1	19.574379507011	1	26.7960728263874	1.60786405356048	26.8667906594068	1.46564193991492	47.0044035939072	1	22.3368167662155	1	55.3932740425491	2.46794908518642
ABCB1	13.7617034579787	1	1	1	1	1.51207511300568	1	1.23772628530543	1	1	4.1296857483754	14.6618815772217	1	1	1.30551169770981	1	4.83645615932125	1.42063464808146	1	1	1	1	11.1591792214086	1	8.97803782878214	1	6.32381689400967	141.145849682164	8.42581292216209	153.873725602219	13.7538156726679	1	20.9702770420851	1	14.3672461177994	1	12.2394268417145	1	20.2391697924318	1	1.33483985417003	1	1.18920711500272	1.27693883598333	1.43356441463255	1	4.70170077615417	1.45242285611433	1	19.8689485161805	1	17.1495856505941	1	17.1636108989898	1	4.08587620764773	1	3.99652643012506	1	8.87378932065921	1.30551169770981	12.0433207133414	1	15.6700122090715	1	1	1	1	1	1	1.46564193991492	1	1.45242285611433	1	17.0864196486181	1	16.5519759540607	1.42063464808146	8.99934754709366	1.49843723387077	26.3385064823943	1.30551169770981	20.589235398995	1	20.901263112392	1.30551169770981	24.5749512729583	1	25.9338247805101	1	13.9545276881938	1.42063464808146	18.7573707697447	1.54590939849101
ABCF1	76.5768311191272	5.05461903771928	3.15330969808231	4.56949398401229	2.85870771193558	2.54051522698121	2.87721705277292	5.15573391846	2.32461613047885	4.16754846543688	16.82097581298	99.3308589329019	2.82397632230546	3.64565441573656	4.3823751566115	3.17372650520246	5.92988028878946	8.63978184761678	3.61201196262224	3.18924900539839	3.85548753045898	2.21164696191087	276.646029111169	13.7167196918118	295.709417375175	7.63981743395451	7.19599808941139	186.749611415862	6.21176323106133	171.874964286533	168.028145745336	11.6043756235621	238.858203082441	5.58244952741217	230.636738264485	10.3523715246619	214.294800519982	8.1419636838301	216.536479435216	10.2147651411273	12.7337195941311	9.99062293053599	10.3499858355143	8.72831735505631	9.0325923426474	8.68028810239401	12.51279018112	13.0953752506412	11.5982113000052	255.249440072731	11.5684394487692	129.572570932488	5.19395712101738	108.543864520895	5.1331923583647	4.87751072205108	1	4.02240060870174	1	161.658508532479	8.10844389598462	175.899830415537	5.69236003427108	169.717947359747	8.14223288860311	9.92952441447872	9.09696570629097	11.0393713261853	10.1420996339401	8.29201569492125	8.97892209757181	7.04674629667868	6.70223045558425	7.72935134849626	198.578450227853	7.10256003705358	19.0834648561667	1.33514136254031	11.524276865654	1.47273335753469	1251.03237190458	48.4206209021941	1047.08655423733	33.6009008236104	267.068009909492	11.0142263884173	232.078236636173	9.76142399229154	52.0011414326029	1.71176985940971	24.5240429420979	1.64375182951723	55.7625602358899	1.69172638514936
ABHD1	12.2718704677051	1	1	1	1	1	1	1	1.4142135623731	1	3.30975091964687	15.6995270908816	1	1	1	1	6.70073791766901	2	1	1	1	1	10.8853344435892	1	8.90912674351071	1	1	12.3282943481938	1	13.6435004558897	27.9336429457097	3.13016916014657	31.3395760696079	1.56508458007329	15.8542209139346	1.68179283050743	9.66781110512526	1	10.8148755026448	1	1	1	1	1	1.56508458007329	1.56508458007329	1.4142135623731	1	1	14.1913753386621	1	14.4728573770536	1	10.9258118171206	1	3.30975091964687	1	3.30975091964687	1	4	1.56508458007329	10.0348177363315	1	14.1066469233948	2	1	1	1.4142135623731	1	1	1	1	1	1	10.8006172310355	1	21.5442851749739	1.56508458007329	10.6696764602335	1	22.2687939346165	2.21336383940064	19.225541031406	1	21.4617868187976	1.56508458007329	19.99799969993	1.4142135623731	22.3248165003676	1	18.7932302616201	1.4142135623731	23.5990595786603	1
ABL1	61.1770787089403	4.098326180713	2.65811042998648	2.72547648996543	2.85257946598487	3.24877382245344	2.16829638769758	4.67455589681588	2.84694726043014	2.94369279724215	14.9373503924422	82.8482019368062	2.36255439042876	3.2369052500181	3.37927551101091	3.2301488953233	6.66498031385944	3.90721876650135	3.58089505581971	1.95262315155479	3.50888812882268	2.03964890265551	117.881790719321	4.33835340277194	122.209246807301	4.94325336306711	6.57746829775275	176.982033240062	8.14073407038919	182.263129600842	108.219761800387	5.21693094297916	129.592941696619	5.42982229233183	107.408881996767	4.13357211863067	91.7109316284491	2.73471179743594	142.615471081488	5.43806788300474	6.793114857216	4.39364900277922	3.61474793940657	4.96617492938276	6.15206153789321	3.90828227572131	8.71109977301833	3.9427482469888	6.14691117126177	164.897363270557	5.30202569903724	54.3202062360972	2.53104758846168	51.809815272747	2.03964890265551	4.63369274777993	1	5.98103373229836	1	46.1251211388362	2.66716827534	51.193136664759	1.60305851011454	123.095577298276	5.17132656229812	8.38379645318926	5.96571618608088	5.77237251255799	6.33355568546572	2.45529362633784	6.21043717594709	4.18856854179052	4.03565430872981	6.42039346028839	135.583355243838	3.85839800150112	19.5340256555336	1.60305851011454	10.3174198604846	1.46281454322389	189.089509879081	6.40759047324808	153.410333689051	4.4902704509056	165.061812304552	6.55201899819636	147.346691103796	5.01321940129405	42.0016670447262	1.38071307156624	27.1063812659757	1.34800615459728	39.5621769164242	1.70416877739291
ACP5	18.3749519815069	1	1	1	1	1	1	1	1	1.56508458007329	5.78501521703816	16.3807251762544	1	1.8612097182042	1.8612097182042	2	7.96856520746051	1	1	1	1	1.4142135623731	17.9558563957019	1	24.3607098501159	1	1	14.3917737535052	1	15.1170668356454	10.4689670011211	1	16.4771313134893	1	13.5250217978794	1.77827941003892	9.32460511105626	1	18.3046766822513	1	1	1	1	1	1	1	2.44948974278318	1	1	17.7184274111891	1.4142135623731	15.5329208829054	1	13.1325735900653	1	4.68069463864143	1	5.00997013923459	1	6.70073791766901	1	6.70073791766901	1	98.9115580079393	5.47112959946952	3.7224194364084	9.80433163074278	7.61350819167864	7.6970938005454	5.82969046656277	4.11953428781424	3.46410161513775	6	3.80675409583932	117.229126731921	3.83365862547763	15.0822105584628	2.44948974278318	6.47245858475022	1.56508458007329	28.7204391521448	1.4142135623731	16.2144018576844	1	34.4939403504893	1	21.9770490089082	1	63.4655251909724	2	30	1.56508458007329	46.1596014091692	3.30975091964687
ACTL6B	16.2865056995694	1	1	1	1	1	1	2.15443469003188	1	2	6.07317794375133	12.9723277253523	1	1	2	1	3	1	1	1	1	1	8.81086811491034	1	8.73289174129597	1	1	19.0928054187201	1.81712059283214	12.2182294885792	10.7144126969077	1	23.699968547259	1	19.0653337183036	1.81712059283214	8.27677252914336	1	10.1315940382018	2	2	2.28942848510666	1	1	1	1	5.03968419957949	1	1	11.5455033938304	1	11.5480035029155	1	11.7446029235066	2.15443469003188	2.46621207433047	1	2.6207413942089	1	9.95647752084936	1	9.14577427377083	1	9.18150031724665	1	1	1.81712059283214	1	1	1	1	1	1.81712059283214	1	10.525260420508	1	8.00520494616583	1	5.42883523318981	1	23.8497558527983	1	18.9824399160587	1	33.0192724889463	2.88449914061482	33.0192724889463	2.6207413942089	12.4933297746139	1	11.4775870966343	1	12.4805029383114	1
ACTR3B	18	1	1	1	1	1	1	1	2	3	11	45	2	1	1	3	3	1	2	2	1	1	9	1	12	1	1	35	3	34	37	3	42	1	35	3	27	3	21	3	1	2	1	2	2	1	5	1	1	23	1	29	1	34	1	1	1	9	1	25	3	25	1	23	1	4	1	3	1	1	1	1	1	1	30	1	23	1	11	4	35	2	20	1	65	5	63	4	18	1	20	1	28	1
ACVR1B	43.0993795409764	4.5074303482801	2.58666719213051	2.14468478277191	2.48396071110437	2.4550512166264	1.42349781425291	2.58666719213051	1.66055153809915	3.15647100867328	12.2150144323967	61.7151976319059	2	2.65160197599675	3.0529541005373	2.80016301177388	4.09527225330816	3.50891041009473	4.2091557660982	1.79349486065659	3.14660639350465	2.27306983884453	47.4391709358012	2.53479381369666	41.1416302302067	1.79349486065659	6.09144462585413	178.837977074604	8.89436440032393	180.775602878041	190.405956154679	10.15611426516	241.567559382033	7.07182528589437	61.3730006680674	2.44056987174562	55.577368333393	2.27306983884453	60.1136693545732	3.48383820341186	2.42313127540177	2.76996691275158	2.11972393995046	3.56135961476974	3.23124684238972	1.84851203438222	6.83737665312832	2.53479381369666	2.85993829661746	68.5676720948588	3.00799233542422	40.5775705490933	1.9232405678149	33.0200860084741	2.28942848510666	5.12031717306187	1.22028493587281	4.58018034001671	1	67.9863533040091	2.70213350320354	64.7086023416714	1.96259879303011	71.1394220362635	4.7151413868795	4.33628835058582	3.58071863236898	4.36949700667896	4.81309086822235	3.39852287976549	2.45166489610638	2.70213350320354	2.93432994795422	1.79349486065659	73.7947762026424	2.07721470550126	24.9360238215125	1.66810053720006	16.0059787319626	1.53746267757577	444.999264567938	16.9250749811977	367.053639731522	15.074085456077	95.6405744600277	3.01326038058933	80.0870249224075	3.80706174233452	35.3699868455512	1.48909532471811	33.1360991626521	1.22028493587281	39.7791273067679	1.64868640433825
ACVR1C	11.7744964085978	1.52437975529492	1	1.25992104989487	1	1	1	1.34687176593718	1	1.4775687282336	4.63899640739602	16.392562325856	1.30321960143521	1	1.34687176593718	1.34687176593718	3.12977122905613	1.49843723387077	1	1	1.34687176593718	1	11.4928148566557	1	9.69805280330037	1	2.28418738389272	56.7110560952436	2.58769838249438	50.1844408531529	11.6909795982056	1.50880200822061	18.9319917200468	1	23.4028388826378	1	14.5737551103529	1	14.0887257559435	1	1	1.8612097182042	1.75515191494099	1.30551169770981	1	1	4.69881981690297	1	1	15.2665010412627	1	16.2212646106375	1	11.9199357202837	1.51207511300568	3.87994922300417	1	5.26374444494864	1	11.5955527673206	1	10.3515769773135	1	13.1077797921657	1	1	1.34800615459728	1	1	1	1.27693883598333	1	1	1	12.225905393791	1	15.4942795250928	1.81406355387873	9.19379890658052	1.71987286501463	38.8165276992153	1.71987286501463	32.3291757224905	1	23.4342712308729	1	17.6240058797847	1.23772628530543	21.4778482586158	1	12.6764728611114	1.2723483826612	19.760420317195	1.85240975991969
