Sample_ID	aoi_size	nuclei	Stage_x	Stage_y	dsp_roinum	tissue_type	roi_dimension	aoi_type	roi_type	RawReads	TrimmedReads	StitchedReads	AlignedReads	DeduplicatedReads	SequencingSaturation	UID	NegGeoMean_01	NegGeoSD_01	GeoLOQ2.5_01	NormFactorNeg_01	NormFactorQ3	NormFactorHK
DSP-1011206234567-A03	312028.18	2533	114.515	39.505	1	crc	650	Tumor inverse	seg	3087253	3084950	2991187	2982742	1180212	60.43197836	DSP-1011206234567-A03	23.47122042	1.395593952	54.00492514	0.597620692	0.436985462	0.322202003
DSP-1011206234567-A05	251032.31	2590	119.328	38.152	2	crc	650	Tumor inverse	seg	3657846	3655136	3543636	3533990	1434957	59.39555573	DSP-1011206234567-A05	33.02901633	1.305872667	64.36469553	0.840979857	0.544315225	0.389703571
DSP-1011206234567-A06	115952.21	1032	115.121	38.31	3	crc	650	Tumor	seg	5349975	5345432	5180277	5169775	2139288	58.61932096	DSP-1011206234567-A06	20.43251821	1.432530649	50.18589813	0.520249712	0.743641927	0.891261511
DSP-1011206234567-A07	181353.26	1275	115.121	38.31	3	crc	650	Tumor inverse	seg	3393155	3390448	3286562	3277139	1421439	56.62561155	DSP-1011206234567-A07	21.03386604	1.340065736	43.72545733	0.53556114	0.498316755	0.526473575
DSP-1011206234567-A08	121732.47	963	116.004	38.25	4	crc	650	Tumor	seg	3773603	3771045	3658437	3648612	1769423	51.50421585	DSP-1011206234567-A08	17.12366009	1.424096298	41.44240895	0.436000063	0.582647283	0.685875257
DSP-1011206234567-A09	170879.31	1484	116.004	38.25	4	crc	650	Tumor inverse	seg	7998686	7988149	7704814	7689285	2328409	69.718784	DSP-1011206234567-A09	38.33125888	1.299987409	73.85857889	0.975984761	0.835638866	0.863729109
DSP-1011206234567-A10	90974.46	784	115.073	40.661	5	crc	650	Tumor	seg	2682401	2680544	2599624	2592649	1266233	51.16064689	DSP-1011206234567-A10	11.63258798	1.412508381	27.58378947	0.296187209	0.413986227	0.470769805
DSP-1011206234567-A11	202651.53	1945	115.071	40.665	5	crc	650	Tumor inverse	seg	4064985	4061898	3937568	3926408	1495920	61.90105562	DSP-1011206234567-A11	25.12283595	1.361281228	54.31731595	0.639673878	0.536648813	0.491613243
DSP-1011206234567-A12	121268.6	936	116.187	40.085	6	crc	650	Tumor	seg	3831119	3828455	3714302	3704523	1752894	52.68232914	DSP-1011206234567-A12	18.22099878	1.409594925	42.98411584	0.463940336	0.574980871	0.65514704
DSP-1011206234567-B01	154755.46	1474	116.194	40.085	6	crc	650	Tumor inverse	seg	3883279	3880665	3763168	3752733	1537042	59.04206348	DSP-1011206234567-B01	25.05776354	1.327655799	50.89276525	0.638017015	0.528982402	0.54082259
DSP-1011206234567-B02	131338.77	1055	117.751	38.57	7	crc	650	Tumor	seg	4017735	4014870	3894193	3883838	1821692	53.09557196	DSP-1011206234567-B02	20.66215555	1.378346956	46.08631727	0.526096704	0.613312929	0.657621431
DSP-1011206234567-B03	162521.7	1505	117.751	38.57	7	crc	650	Tumor inverse	seg	3597501	3594937	3486837	3476748	1469964	57.72014538	DSP-1011206234567-B03	22.02294672	1.377272102	49.02581303	0.560744964	0.513649578	0.521281272
DSP-1011206234567-B06	139626.11	1153	118.392	39.879	9	crc	650	Tumor	seg	29816081	29799388	28857203	28745170	12229121	57.4567797	DSP-1011206234567-B06	88.60382877	1.266071912	159.807966	2.25601739	2.361254778	2.335420815
DSP-1011206234567-B07	146163.37	1519	118.394	39.876	9	crc	650	Tumor inverse	seg	14000695	13991988	13558111	13499251	5628146	58.30771648	DSP-1011206234567-B07	54.65258208	1.296679485	104.6386877	1.391555843	1.142295331	1.065923191
DSP-1011206234567-B09	137472.25	1594	118.117	40.992	10	crc	650	Tumor inverse	seg	16817824	16806246	16239962	16175674	6055940	62.56143639	DSP-1011206234567-B09	58.65068316	1.271066974	106.8302295	1.493354892	1.211293036	1.067082981
DSP-1011206234567-B10	138183.31	1149	118.077	42.27	11	crc	650	Tumor	seg	3427870	3425423	3326657	3313782	2792454	15.73211515	DSP-1011206234567-B10	17.69390804	1.421942721	42.6608026	0.450519631	0.544315225	0.573155497
DSP-1011206234567-B11	127867.06	1143	118.073	42.27	11	crc	650	Tumor inverse	seg	13892588	13884725	13462381	13412158	5275312	60.66768674	DSP-1011206234567-B11	51.64103993	1.26873088	93.63080465	1.314876408	1.050298392	1.026250736
DSP-1011206234567-C01	125861.04	1470	119.841	40.863	12	crc	650	Tumor inverse	seg	17756408	17746213	17208304	17144227	6425533	62.52071907	DSP-1011206234567-C01	55.67123409	1.285412111	104.2885951	1.417492607	1.32628921	1.300420583
DSP-1011206234567-C03	68014.17	567	120.969	39.349	13	crc	650	Tumor inverse	seg	10314679	10307547	9954708	9914996	3658943	63.09687871	DSP-1011206234567-C03	34.76621812	1.292557022	66.03614745	0.885212228	0.812639632	0.869552185
DSP-1011206234567-D02	154144.86	1247	118.883	43.314	19	crc	650	Tumor	seg	18047398	18037845	17507148	17445625	9861393	43.47354709	DSP-1011206234567-D02	70.18229577	1.269340531	127.4010302	1.786971082	1.939602139	2.016028513
DSP-1011206234567-D03	94430.75	1230	118.883	43.314	19	crc	650	Tumor inverse	seg	20209478	20198043	19574379	19502214	5692956	70.80866819	DSP-1011206234567-D03	49.84909629	1.272088228	90.98093035	1.269250208	1.142295331	1.120767156
DSP-1011206234567-D05	105565.85	1274	120.172	43.62	20	crc	650	Tumor inverse	seg	17641316	17630692	17060113	16997324	5462545	67.8623235	DSP-1011206234567-D05	53.94746991	1.263866201	96.87770267	1.373602382	1.111629685	1.053527042
DSP-1011206234567-D06	218869.34	1909	121.978	43.422	21	crc	650	Tumor	seg	25213452	25200100	24440497	24350853	14832522	39.08828574	DSP-1011206234567-D06	94.25066485	1.221130448	155.3064786	2.399796283	2.959234885	3.273206004
DSP-1011206234567-D07	51538.2	501	121.978	43.434	21	crc	650	Tumor inverse	seg	11077888	11071777	10737684	10698606	3282788	69.31574076	DSP-1011206234567-D07	26.01366643	1.35534356	55.63204929	0.66235607	0.697643457	0.864797071
DSP-1011206234567-D08	143726.54	1202	122.393	44.833	22	crc	650	Tumor	seg	20090271	20079611	19473742	19403734	10423455	46.28119	DSP-1011206234567-D08	67.75042446	1.221742297	111.7792121	1.72505114	2.031599079	2.291177825
DSP-1011206234567-D09	115723.46	1454	122.379	44.846	22	crc	650	Tumor inverse	seg	21430379	21416287	20703337	20625930	5507191	73.29967182	DSP-1011206234567-D09	46.52266155	1.297139182	89.15198094	1.184553026	1.073297627	1.110447072
DSP-1011206234567-D11	136890.11	1706	120.609	44.667	23	crc	650	Tumor inverse	seg	15110154	15098237	14607872	14553201	5316563	63.46808513	DSP-1011206234567-D11	56.39115034	1.255880066	99.67388173	1.435823007	1.050298392	0.898782185
DSP-1011206234567-D12	56121.42	475	117.978	43.98	24	crc	650	Tumor	seg	9759406	9753690	9456047	9419177	4667783	50.44383389	DSP-1011206234567-D12	31.09426061	1.281934198	57.85548881	0.791717397	0.912302983	0.940386982
