TargetName	HUGOSymbol	TargetGroup	AnalyteType	Codeclass	Pooling	CorrelationToNegatives	GlobalOutliers
A1BG	A1BG	All Probes	RNA	Endogenous	01	0.950624427011949	0
A1CF	A1CF	All Probes	RNA	Endogenous	01	0.770767903531814	0
A2M	A2M	All Probes	RNA	Endogenous	01	0.183409839326012	0
A2ML1	A2ML1	All Probes	RNA	Endogenous	01	0.934819096805441	0
A3GALT2	A3GALT2	All Probes	RNA	Endogenous	01	0.928565555830431	0
A4GALT	A4GALT	All Probes	RNA	Endogenous	01	0.925587895543253	0
A4GNT	A4GNT	All Probes	RNA	Endogenous	01	0.916904119249296	0
AAAS	AAAS	All Probes	RNA	Endogenous	01	0.866368382442971	0
AACS	AACS	All Probes	RNA	Endogenous	01	0.787505490724971	0
AADAC	AADAC	All Probes	RNA	Endogenous	01	0.955501877659073	0
AADACL2	AADACL2	All Probes	RNA	Endogenous	01	0.925922768645688	0
AADACL3	AADACL3	All Probes	RNA	Endogenous	01	0.933543204021073	0
AADACL4	AADACL4	All Probes	RNA	Endogenous	01	0.953297357463484	0
AADAT	AADAT	All Probes	RNA	Endogenous	01	0.856630028134863	0
AAGAB	AAGAB	All Probes	RNA	Endogenous	01	0.777877847050508	0
AAK1	AAK1	All Probes	RNA	Endogenous	01	0.745753286349666	0
AAMDC	AAMDC	All Probes	RNA	Endogenous	01	0.919412038792646	0
AAMP	AAMP	All Probes	RNA	Endogenous	01	0.816462733880035	0
AANAT	AANAT	All Probes	RNA	Endogenous	01	0.945819622058711	0
AAR2	AAR2	All Probes	RNA	Endogenous	01	0.857830761502075	0
AARD	AARD	All Probes	RNA	Endogenous	01	0.923958127163486	0
AARS,AARS1	AARS,AARS1	All Probes	RNA	Endogenous	01	0.791767502087957	0
AARS2	AARS2	All Probes	RNA	Endogenous	01	0.918301385232965	0
AARSD1	AARSD1	All Probes	RNA	Endogenous	01	0.864283781926485	0
AASDH	AASDH	All Probes	RNA	Endogenous	01	0.924402161282436	0
AASDHPPT	AASDHPPT	All Probes	RNA	Endogenous	01	0.844730124430035	0
AASS	AASS	All Probes	RNA	Endogenous	01	0.955039792813835	0
AATF	AATF	All Probes	RNA	Endogenous	01	0.789070563753151	0
AATK	AATK	All Probes	RNA	Endogenous	01	0.904673274226525	0
ABAT	ABAT	All Probes	RNA	Endogenous	01	0.817921870229534	0
ABCA1	ABCA1	All Probes	RNA	Endogenous	01	0.53359137385195	0
ABCA10	ABCA10	All Probes	RNA	Endogenous	01	0.945933813516954	0
ABCA12	ABCA12	All Probes	RNA	Endogenous	01	0.858368981294754	0
ABCA13	ABCA13	All Probes	RNA	Endogenous	01	0.963751236516799	0
ABCA2	ABCA2	All Probes	RNA	Endogenous	01	0.925626511291203	0
ABCA3	ABCA3	All Probes	RNA	Endogenous	01	0.953434201237703	0
ABCA4	ABCA4	All Probes	RNA	Endogenous	01	0.955122422685749	0
ABCA5	ABCA5	All Probes	RNA	Endogenous	01	0.923655975378597	0
ABCA6	ABCA6	All Probes	RNA	Endogenous	01	0.909834204739906	0
ABCA7	ABCA7	All Probes	RNA	Endogenous	01	0.933410177702345	0
ABCA8	ABCA8	All Probes	RNA	Endogenous	01	0.944080109275853	0
ABCA9	ABCA9	All Probes	RNA	Endogenous	01	0.936114678081284	0
ABCB1	ABCB1	All Probes	RNA	Endogenous	01	0.873506143480185	0
ABCB10	ABCB10	All Probes	RNA	Endogenous	01	0.905897745001517	0
ABCB11	ABCB11	All Probes	RNA	Endogenous	01	0.953799356087915	0
ABCB4	ABCB4	All Probes	RNA	Endogenous	01	0.897159659451697	0
ABCB5	ABCB5	All Probes	RNA	Endogenous	01	0.943487029433654	0
ABCB6	ABCB6	All Probes	RNA	Endogenous	01	0.917906666011672	0
ABCB7	ABCB7	All Probes	RNA	Endogenous	01	0.929651063380536	0
ABCB8	ABCB8	All Probes	RNA	Endogenous	01	0.911613204503889	0
ABCB9	ABCB9	All Probes	RNA	Endogenous	01	0.95600093036523	0
ABCC1	ABCC1	All Probes	RNA	Endogenous	01	0.286788271281269	0
ABCC10	ABCC10	All Probes	RNA	Endogenous	01	0.90612296209539	0
ABCC11	ABCC11	All Probes	RNA	Endogenous	01	0.927368010532408	0
ABCC12	ABCC12	All Probes	RNA	Endogenous	01	0.951771751069443	0
ABCC2	ABCC2	All Probes	RNA	Endogenous	01	0.93437442738877	0
ABCC3	ABCC3	All Probes	RNA	Endogenous	01	0.702099466724195	0
ABCC4	ABCC4	All Probes	RNA	Endogenous	01	0.889714548348759	0
ABCC5	ABCC5	All Probes	RNA	Endogenous	01	0.958742904716133	0
ABCC6P1,ABCC6,ABCC6P2	ABCC6P1,ABCC6,ABCC6P2	All Probes	RNA	Endogenous	01	0.883564008456732	0
ABCC8	ABCC8	All Probes	RNA	Endogenous	01	0.957705428322026	0
ABCC9	ABCC9	All Probes	RNA	Endogenous	01	0.776672874982369	0
ABCD1	ABCD1	All Probes	RNA	Endogenous	01	0.926216903406139	0
ABCD2	ABCD2	All Probes	RNA	Endogenous	01	0.9080642775609	0
ABCD3	ABCD3	All Probes	RNA	Endogenous	01	0.834342232012873	0
ABCD4	ABCD4	All Probes	RNA	Endogenous	01	0.946840697517006	0
ABCE1	ABCE1	All Probes	RNA	Endogenous	01	0.806641132313236	0
ABCF1	ABCF1	All Probes	RNA	Endogenous	01	0.891639120553128	0
ABCF3	ABCF3	All Probes	RNA	Endogenous	01	0.889298515621009	0
ABCG1	ABCG1	All Probes	RNA	Endogenous	01	0.860959189558674	0
ABCG2	ABCG2	All Probes	RNA	Endogenous	01	0.913412933385014	0
ABCG4	ABCG4	All Probes	RNA	Endogenous	01	0.890482038172299	0
ABCG5	ABCG5	All Probes	RNA	Endogenous	01	0.934306622069423	0
ABCG8	ABCG8	All Probes	RNA	Endogenous	01	0.960175149855139	0
ABHD1	ABHD1	All Probes	RNA	Endogenous	01	0.946644476552715	0
ABHD10	ABHD10	All Probes	RNA	Endogenous	01	0.964948214362449	0
ABHD11	ABHD11	All Probes	RNA	Endogenous	01	0.748744594459412	0
ABHD12	ABHD12	All Probes	RNA	Endogenous	01	0.873356070802557	0
ABHD12B	ABHD12B	All Probes	RNA	Endogenous	01	0.929761965013089	0
ABHD13	ABHD13	All Probes	RNA	Endogenous	01	0.85199559507845	0
ABHD14A,ABHD14A-ACY1	ABHD14A,ABHD14A-ACY1	All Probes	RNA	Endogenous	01	0.930631308826281	0
ABHD14B	ABHD14B	All Probes	RNA	Endogenous	01	0.798418128540031	0
ABHD15	ABHD15	All Probes	RNA	Endogenous	01	0.933388787992314	0
ABHD16A	ABHD16A	All Probes	RNA	Endogenous	01	0.913771768646939	0
ABHD16B	ABHD16B	All Probes	RNA	Endogenous	01	0.919410722318023	0
ABHD17A	ABHD17A	All Probes	RNA	Endogenous	01	0.951372882634037	0
ABHD17B	ABHD17B	All Probes	RNA	Endogenous	01	0.923834095369959	0
ABHD17C	ABHD17C	All Probes	RNA	Endogenous	01	0.722227549370574	0
ABHD18	ABHD18	All Probes	RNA	Endogenous	01	0.942259982049856	0
ABHD2	ABHD2	All Probes	RNA	Endogenous	01	0.819508414535137	0
ABHD3	ABHD3	All Probes	RNA	Endogenous	01	0.86847822337398	0
ABHD4	ABHD4	All Probes	RNA	Endogenous	01	0.873242881676047	0
ABHD5	ABHD5	All Probes	RNA	Endogenous	01	0.930325662209824	0
ABHD6	ABHD6	All Probes	RNA	Endogenous	01	0.901109745623387	0
ABHD8	ABHD8	All Probes	RNA	Endogenous	01	0.908207956433719	0
ABI1	ABI1	All Probes	RNA	Endogenous	01	0.93859254267937	0
ABI2	ABI2	All Probes	RNA	Endogenous	01	0.939504408514013	0
ABI3	ABI3	All Probes	RNA	Endogenous	01	0.885763050207901	0
ABI3BP	ABI3BP	All Probes	RNA	Endogenous	01	0.654102156796193	0
ABITRAM	ABITRAM	All Probes	RNA	Endogenous	01	0.885671982771619	0
ABL1	ABL1	All Probes	RNA	Endogenous	01	0.843067624808113	0
ABL2	ABL2	All Probes	RNA	Endogenous	01	0.902898147578215	0
ABLIM1	ABLIM1	All Probes	RNA	Endogenous	01	NA	NA
ABLIM2	ABLIM2	All Probes	RNA	Endogenous	01	0.903249154614383	0
ABLIM3	ABLIM3	All Probes	RNA	Endogenous	01	0.921044666926087	0
ABO	ABO	All Probes	RNA	Endogenous	01	0.724083210943684	0
ABR	ABR	All Probes	RNA	Endogenous	01	0.901837756769505	0
ABRA	ABRA	All Probes	RNA	Endogenous	01	0.922795570954731	0
ABRACL	ABRACL	All Probes	RNA	Endogenous	01	0.787243381921161	0
ABRAXAS1	ABRAXAS1	All Probes	RNA	Endogenous	01	0.943051776232912	0
ABRAXAS2	ABRAXAS2	All Probes	RNA	Endogenous	01	0.917194938161433	0
ABT1	ABT1	All Probes	RNA	Endogenous	01	0.964702407274135	0
ABTB1	ABTB1	All Probes	RNA	Endogenous	01	0.885755988282212	0
ABTB2	ABTB2	All Probes	RNA	Endogenous	01	0.935595091220797	0
ACAA1	ACAA1	All Probes	RNA	Endogenous	01	0.827363523984874	0
ACAA2	ACAA2	All Probes	RNA	Endogenous	01	0.739786625196379	0
ACACA	ACACA	All Probes	RNA	Endogenous	01	0.752705204227841	0
ACACB	ACACB	All Probes	RNA	Endogenous	01	0.926281089437484	0
ACAD10	ACAD10	All Probes	RNA	Endogenous	01	0.886225237088166	0
ACAD11,NPHP3-ACAD11	ACAD11,NPHP3-ACAD11	All Probes	RNA	Endogenous	01	0.950906774240424	0
