ProbeName	ProbeDisplayName	TargetName	HUGOSymbol	Accessions	GenomeBuild	GenomicPosition	GlobalOutlier	GlobalOutlierReason	OutlierFrequency	OutlierAOIs	Gene	DSP-1010474710004-A04	DSP-1010474710004-A06	DSP-1010474710004-A08	DSP-1010474710004-A10	DSP-1010474710004-A12	DSP-1010474710004-B02	DSP-1010474710004-B04	DSP-1010474710004-B06	DSP-1011206234567-H08
	RNA20877	A2M	A2M				FALSE				A2M	225	56	22	6	113	54	7	8	21
	RNA20878	NAT2	NAT2				FALSE				NAT2	36	11	8	2	24	10	0	1	8
	RNA20879	ACADM	ACADM				FALSE				ACADM	64	17	8	3	42	7	1	2	12
	RNA20880	ACADS	ACADS				FALSE				ACADS	71	29	11	5	34	8	2	3	13
	RNA20881	ACAT1	ACAT1				FALSE				ACAT1	73	17	10	1	33	15	2	5	6
	RNA20882	ACVRL1	ACVRL1				FALSE				ACVRL1	56	14	9	2	25	13	0	2	11
	RNA20883	PSEN1	PSEN1				FALSE				PSEN1	90	26	5	2	46	18	5	5	8
	RNA20884	ADA	ADA				FALSE				ADA	48	15	11	3	25	4	0	5	10
	RNA20885	SGCA	SGCA				FALSE				SGCA	132	35	12	6	44	13	1	8	10
	RNA20886	ADRB2	ADRB2				FALSE				ADRB2	46	14	2	0	18	9	1	2	12
	RNA20887	ADRB3	ADRB3				FALSE				ADRB3	38	13	8	2	19	5	0	4	8
	RNA20888	AGL	AGL				FALSE				AGL	60	22	7	1	22	4	1	1	8
	RNA20889	AGT	AGT				FALSE				AGT	191	57	26	10	164	49	8	12	16
	RNA20890	AGXT	AGXT				FALSE				AGXT	45	13	5	1	23	2	0	3	4
	RNA20891	ALAD	ALAD				FALSE				ALAD	56	28	3	1	26	8	0	4	4
	RNA20892	ABCD1	ABCD1				FALSE				ABCD1	53	21	9	0	33	10	0	2	5
	RNA20893	ALDOB	ALDOB				FALSE				ALDOB	39	19	7	3	16	7	3	0	25
	RNA20894	AMPD1	AMPD1				FALSE				AMPD1	62	14	3	0	29	8	0	1	11
	RNA20895	APC	APC				FALSE				APC	104	36	12	4	32	11	2	2	5
	RNA20896	APOA1	APOA1				FALSE				APOA1	46	16	4	2	22	5	0	2	12
	RNA20897	APOC3	APOC3				FALSE				APOC3	103	29	14	1	24	7	1	4	6
	RNA20898	APOE	APOE				FALSE				APOE	291	75	36	4	438	160	13	17	15
	RNA20899	APOH	APOH				FALSE				APOH	44	13	4	0	20	7	0	3	8
	RNA20900	AR	AR				FALSE				AR	45	16	7	2	29	7	1	3	6
	RNA20901	ARG1	ARG1				FALSE				ARG1	45	15	5	1	23	8	1	0	6
	RNA20902	ARSB	ARSB				FALSE				ARSB	68	34	7	1	28	11	0	2	7
	RNA20903	ARSL,ARSE	ARSL,ARSE				FALSE				ARSL,ARSE	51	9	8	2	19	10	0	1	10
	RNA20904	ASL	ASL				FALSE				ASL	73	29	7	2	27	9	3	5	11
	RNA20905	ASPA	ASPA				FALSE				ASPA	56	18	7	0	47	11	0	5	10
	RNA20906	ASS1	ASS1				FALSE				ASS1	216	79	20	7	55	13	3	5	9
	RNA20907	ATM	ATM				FALSE				ATM	68	16	5	1	34	14	2	3	10
	RNA20908	ATP7A	ATP7A				FALSE				ATP7A	62	12	9	2	31	11	2	3	17
	RNA20909	ATP7B	ATP7B				FALSE				ATP7B	52	10	3	2	23	9	1	0	3
	RNA20910	AVPR2	AVPR2				FALSE				AVPR2	59	20	6	2	15	5	2	2	11
	RNA20911	BLM	BLM				FALSE				BLM	69	22	8	4	26	9	2	0	16
	RNA20912	BRCA2	BRCA2				FALSE				BRCA2	59	15	4	1	27	6	2	3	13
	RNA20913	BTD	BTD				FALSE				BTD	80	32	14	5	34	13	2	2	7
	RNA20914	BTK	BTK				FALSE				BTK	48	16	6	3	22	7	3	5	4
	RNA20915	SERPING1	SERPING1				FALSE				SERPING1	121	44	12	3	85	31	5	6	11
	RNA20916	C2	C2				FALSE				C2	40	15	11	1	20	8	0	4	15
	RNA20917	C3	C3				FALSE				C3	334	99	33	12	418	131	14	2	21
	RNA20918	C6	C6				FALSE				C6	43	25	4	0	14	4	1	1	10
	RNA20919	C8B	C8B				FALSE				C8B	48	18	2	1	21	9	2	3	11
	RNA20920	CA2	CA2				FALSE				CA2	99	26	11	2	104	47	8	16	9
	RNA20921	CACNA1S	CACNA1S				FALSE				CACNA1S	48	10	9	2	15	7	0	4	16
	RNA20922	CBSL,CBS	CBSL,CBS				FALSE				CBSL,CBS	114	37	22	4	26	7	0	4	17
	RNA20923	CD36	CD36				FALSE				CD36	36	20	6	3	15	4	1	2	9
	RNA20924	CD3G	CD3G				FALSE				CD3G	45	21	8	0	32	8	0	3	7
	RNA20925	CD40LG	CD40LG				FALSE				CD40LG	40	12	3	2	33	10	0	1	12
	RNA20926	CDK4,TSPAN31	CDK4,TSPAN31				FALSE				CDK4,TSPAN31	122	41	14	2	35	18	0	4	9
	RNA20927	CDKN1C	CDKN1C				FALSE				CDKN1C	61	17	8	3	35	20	0	5	4
	RNA20928	CDKN2B,CDKN2A	CDKN2B,CDKN2A				FALSE				CDKN2B,CDKN2A	81	23	4	4	37	19	3	3	18
	RNA20929	CETP	CETP				FALSE				CETP	37	11	4	1	15	5	0	1	11
	RNA20930	CHRNE	CHRNE				FALSE				CHRNE	51	21	5	2	21	8	1	1	14
	RNA20931	LYST	LYST				FALSE				LYST	68	33	10	2	32	13	2	2	11
	RNA20932	ERCC8	ERCC8				FALSE				ERCC8	70	25	7	2	31	10	0	1	8
	RNA20933	CLCN1	CLCN1				FALSE				CLCN1	57	16	3	4	20	7	0	1	7
	RNA20934	CLCN5	CLCN5				FALSE				CLCN5	50	18	4	1	19	8	1	2	14
	RNA20935	CLN3	CLN3				FALSE				CLN3	100	19	11	4	31	8	1	3	7
	RNA20936	CNGA1	CNGA1				FALSE				CNGA1	52	11	4	3	26	8	2	3	8
	RNA20937	COL1A1	COL1A1				FALSE				COL1A1	48	12	3	4	23	15	0	2	116
	RNA20938	COL1A2	COL1A2				FALSE				COL1A2	204	62	19	2	54	37	1	13	183
	RNA20939	COL3A1	COL3A1				FALSE				COL3A1	60	26	4	0	37	24	0	12	91
	RNA20940	COL4A3	COL4A3				FALSE				COL4A3	43	20	9	1	22	12	1	2	19
	RNA20941	COL4A4	COL4A4				FALSE				COL4A4	47	17	3	3	26	8	0	0	9
	RNA20942	COL5A1	COL5A1				FALSE				COL5A1	51	19	12	2	22	19	0	10	19
	RNA20943	COL7A1	COL7A1				FALSE				COL7A1	44	16	4	1	17	8	2	2	5
	RNA20944	COMP	COMP				FALSE				COMP	43	17	3	1	17	3	2	3	7
	RNA20945	CP	CP				FALSE				CP	67	17	11	3	52	19	1	3	10
	RNA20946	CPOX	CPOX				FALSE				CPOX	64	20	8	4	37	18	1	7	13
	RNA20947	CPT2	CPT2				FALSE				CPT2	68	32	9	5	32	8	0	3	6
	RNA20948	CST3	CST3				FALSE				CST3	417	159	37	12	300	109	14	16	13
	RNA20949	CSTB	CSTB				FALSE				CSTB	141	40	13	2	74	28	3	13	12
	RNA20950	CYBA	CYBA				FALSE				CYBA	63	11	7	3	35	7	3	1	16
	RNA20951	CYP17A1	CYP17A1				FALSE				CYP17A1	42	17	6	4	21	7	1	2	5
	RNA20952	CYP19A1	CYP19A1				FALSE				CYP19A1	57	13	5	2	19	4	0	7	10
	RNA20953	CYP1B1	CYP1B1				FALSE				CYP1B1	60	23	5	3	32	11	2	0	5
	RNA20954	LOC107987479,CYP2D6,LOC101929829,LOC107987478	LOC107987479,CYP2D6,LOC101929829,LOC107987478				FALSE				LOC107987479,CYP2D6,LOC101929829,LOC107987478	66	20	7	2	24	2	0	2	16
	RNA20955	DDB2	DDB2				FALSE				DDB2	60	17	11	1	31	9	1	2	6
	RNA20956	DLD	DLD				FALSE				DLD	68	18	9	3	37	10	0	8	9
	RNA20957	DPYD	DPYD				FALSE				DPYD	59	16	4	2	64	17	4	3	11
	RNA20958	SLC26A3	SLC26A3				FALSE				SLC26A3	46	7	7	1	16	5	1	3	21
	RNA20959	SLC26A2	SLC26A2				FALSE				SLC26A2	70	18	6	1	27	4	0	1	7
	RNA20960	TOR1A	TOR1A				FALSE				TOR1A	62	25	8	3	28	9	2	4	11
	RNA20961	EDN3	EDN3				FALSE				EDN3	75	10	7	3	23	5	1	2	10
	RNA20962	EMD	EMD				FALSE				EMD	71	21	8	2	50	9	1	6	10
	RNA20963	EPB42	EPB42				FALSE				EPB42	65	13	9	1	21	5	0	0	14
	RNA20964	EPHX1	EPHX1				FALSE				EPHX1	93	31	9	1	73	27	1	3	17
	RNA20965	EPOR	EPOR				FALSE				EPOR	48	14	6	1	16	4	1	2	10
	RNA20966	ERCC3	ERCC3				FALSE				ERCC3	56	12	7	3	25	4	0	1	7
	RNA20968	ESR1	ESR1				FALSE				ESR1	48	22	7	1	22	9	0	2	21
	RNA20969	EXT1	EXT1				FALSE				EXT1	79	20	8	1	25	5	0	4	11
	RNA20970	F11	F11				FALSE				F11	40	13	6	1	20	8	0	4	9
	RNA20971	F13A1	F13A1				FALSE				F13A1	43	10	4	1	32	19	1	6	7
	RNA20972	F5	F5				FALSE				F5	42	9	5	0	32	8	1	6	7
	RNA20973	F9	F9				FALSE				F9	30	16	3	0	21	12	3	2	6
	RNA20974	FABP2	FABP2				FALSE				FABP2	44	21	6	5	24	6	0	1	8
	RNA20975	FANCA	FANCA				FALSE				FANCA	56	12	3	1	24	5	2	2	7
	RNA20976	FAH	FAH				FALSE				FAH	67	27	6	4	34	9	2	1	5
	RNA20977	FBN1	FBN1				FALSE				FBN1	0	0	0	0	0	0	0	0	0
	RNA20978	MS4A2	MS4A2				FALSE				MS4A2	58	13	4	1	27	5	0	2	6
	RNA20979	FECH	FECH				FALSE				FECH	67	21	9	1	32	5	2	6	14
	RNA20980	FGFR2	FGFR2				FALSE				FGFR2	47	13	6	0	58	12	4	6	3
	RNA20981	FH	FH				FALSE				FH	63	15	4	3	29	7	0	1	17
	RNA20982	FSHR	FSHR				FALSE				FSHR	39	6	7	2	34	13	1	2	6
	RNA20983	FUCA1	FUCA1				FALSE				FUCA1	43	12	9	3	28	18	3	3	13
	RNA20984	FUT1	FUT1				FALSE				FUT1	45	14	3	2	20	3	0	2	4
	RNA20985	FUT3	FUT3				FALSE				FUT3	75	23	7	4	35	3	1	0	13
	RNA20986	FUT6	FUT6				FALSE				FUT6	46	16	7	3	20	6	1	5	7
	RNA20987	G6PC	G6PC				FALSE				G6PC	47	16	8	3	17	11	3	1	6
	RNA20988	GAA	GAA				FALSE				GAA	86	29	12	2	52	13	2	8	8
	RNA20989	GALC	GALC				FALSE				GALC	63	31	5	3	35	19	2	6	2
	RNA20990	GALK1	GALK1				FALSE				GALK1	72	18	10	2	20	7	0	1	12
	RNA20991	GALT	GALT				FALSE				GALT	65	15	1	3	24	11	1	5	7
	RNA20992	GBE1	GBE1				FALSE				GBE1	84	22	8	0	37	8	3	12	5
	RNA20993	GCDH	GCDH				FALSE				GCDH	71	23	13	0	32	9	2	4	4
	RNA20994	GCGR	GCGR				FALSE				GCGR	63	21	8	1	17	3	0	2	7
	RNA20995	GCH1	GCH1				FALSE				GCH1	43	23	9	4	29	7	1	2	11
	RNA20996	GCK	GCK				FALSE				GCK	1333	391	144	55	234	73	8	29	114
	RNA20997	GHR	GHR				FALSE				GHR	49	11	3	2	25	10	2	3	10
	RNA20998	GIPR	GIPR				FALSE				GIPR	65	21	7	1	36	6	0	0	9
	RNA20999	GJA1	GJA1				FALSE				GJA1	75	15	12	4	64	17	1	7	9
	RNA21000	GJB1	GJB1				FALSE				GJB1	41	16	7	1	76	24	3	6	7
	RNA21001	GK	GK				FALSE				GK	125	33	14	6	61	13	1	3	14
	RNA21002	GLI3	GLI3				FALSE				GLI3	50	18	13	3	23	1	0	2	15
	RNA21003	GLA	GLA				FALSE				GLA	50	20	10	2	25	12	1	1	5
	RNA21004	GLDC	GLDC				FALSE				GLDC	96	21	10	4	22	8	0	5	9
	RNA21005	GNAT1	GNAT1				FALSE				GNAT1	43	13	9	0	24	4	1	0	12
	RNA21006	GP1BA	GP1BA				FALSE				GP1BA	58	13	6	2	22	10	1	4	7
	RNA21007	GP9	GP9				FALSE				GP9	79	27	8	6	24	6	0	1	11
	RNA21008	GPI	GPI				FALSE				GPI	130	42	17	2	77	20	1	8	13
	RNA21009	GSN	GSN				FALSE				GSN	108	30	18	3	404	173	21	63	12
	RNA21010	GSS	GSS				FALSE				GSS	59	19	8	1	40	9	0	2	9
	RNA21011	MSH6	MSH6				FALSE				MSH6	71	30	6	2	32	10	2	2	12
