TargetName	DSP-1010474710004-A04	DSP-1010474710004-A06	DSP-1010474710004-A08	DSP-1010474710004-A10	DSP-1010474710004-A12	DSP-1010474710004-B02	DSP-1010474710004-B04	DSP-1010474710004-B06	DSP-1011206234567-H08
A1BG	40	10	2	1	17	3	1	4	7
A1CF	41	13	4	1	17	6	1	3	5
A2M	225	56	22	6	113	54	7	8	21
A2ML1	39	12	3	2	20	1	1	2	4
A3GALT2	34	9	3	1	20	5	2	1	3
A4GALT	39	10	6	1	19	6	1	2	9
A4GNT	35	19	9	3	27	4	1	1	5
AAAS	73	20	7	4	45	4	2	2	15
AACS	52	20	5	4	24	3	1	4	11
AADAC	38	8	2	1	19	8	1	2	5
AADACL2	38	10	6	2	12	5	1	2	6
AADACL3	37	10	1	1	18	9	1	2	4
AADACL4	47	16	1	2	17	2	1	2	6
AADAT	34	7	4	2	20	2	1	1	4
AAGAB	81	19	8	2	31	12	4	4	11
AAK1	50	17	10	1	30	8	1	6	5
AAMDC	44	17	7	1	30	6	2	2	3
AAMP	144	38	14	3	46	17	2	8	4
AANAT	55	12	5	2	23	3	1	1	7
AAR2	99	34	8	1	26	7	1	2	3
AARD	53	10	2	2	12	2	3	1	7
AARS,AARS1	65	22	9	1	49	14	1	6	15
AARS2	64	22	12	1	24	6	1	6	8
AARSD1	62	20	11	2	27	6	2	1	10
AASDH	21	10	5	1	12	1	1	1	3
AASDHPPT	89	16	11	2	37	8	3	7	7
AASS	79	25	11	6	38	11	1	1	5
AATF	50	9	3	1	35	2	1	5	8
AATK	34	15	4	2	130	32	5	9	1
ABAT	51	19	8	2	26	20	3	3	9
ABCA1	92	32	14	2	84	26	3	13	14
ABCA10	49	13	5	1	23	6	1	2	3
ABCA12	34	13	8	2	18	6	1	1	5
ABCA13	44	25	6	1	16	13	1	1	8
ABCA2	64	14	7	3	156	49	7	11	4
ABCA3	59	9	3	1	29	13	1	2	8
ABCA4	52	15	2	2	18	9	1	2	7
ABCA5	37	12	4	1	21	12	2	1	12
ABCA6	31	8	4	1	13	5	1	1	7
