TargetName	HUGOSymbol	TargetGroup	AnalyteType	Codeclass	Pooling	CorrelationToNegatives	GlobalOutliers
A1BG	A1BG	All Probes	RNA	Endogenous	01	0.992353006880881	0
A1CF	A1CF	All Probes	RNA	Endogenous	01	0.991598318474075	0
A2M	A2M	All Probes;negative regulation of response to biotic stimulus;regulation of humoral immune response;extracellular matrix disassembly	RNA	Endogenous	01	0.985652538776007	0
A2ML1	A2ML1	All Probes	RNA	Endogenous	01	0.992750655297764	0
A3GALT2	A3GALT2	All Probes;sphingolipid biosynthetic process;liposaccharide metabolic process	RNA	Endogenous	01	0.991085422481015	0
A4GALT	A4GALT	All Probes;sphingolipid biosynthetic process;liposaccharide metabolic process;plasma membrane organization	RNA	Endogenous	01	0.993604598243065	0
A4GNT	A4GNT	All Probes;O-glycan processing;glycoprotein biosynthetic process	RNA	Endogenous	01	0.945046424850764	0
AAAS	AAAS	All Probes;mitotic spindle organization;fertilization;regulation of carbohydrate catabolic process;microtubule bundle formation;protein sumoylation;regulation of cellular response to heat;regulation of gene silencing by RNA;mRNA export from nucleus;spindle assembly;regulation of posttranscriptional gene silencing	RNA	Endogenous	01	0.990965838413739	0
AACS	AACS	All Probes;fatty acid derivative biosynthetic process;cellular response to alcohol;cellular response to ketone;cellular glucose homeostasis;liver development;positive regulation of peptide hormone secretion;fat cell differentiation	RNA	Endogenous	01	0.988640639582374	0
AADAC	AADAC	All Probes;xenobiotic metabolic process;regulation of lipid catabolic process	RNA	Endogenous	01	0.989377004805052	0
AADACL2	AADACL2	All Probes	RNA	Endogenous	01	0.97240228784041	0
AADACL3	AADACL3	All Probes	RNA	Endogenous	01	0.985734079834942	0
AADACL4	AADACL4	All Probes	RNA	Endogenous	01	0.982729332132563	0
AADAT	AADAT	All Probes;glutamine family amino acid metabolic process;amine metabolic process;cellular ketone metabolic process;dicarboxylic acid metabolic process;acyl-CoA metabolic process;alpha-amino acid catabolic process	RNA	Endogenous	01	0.987552774688665	0
AAGAB	AAGAB	All Probes	RNA	Endogenous	01	0.987419191075892	0
AAK1	AAK1	All Probes;regulation of receptor-mediated endocytosis;regulation of Notch signaling pathway	RNA	Endogenous	01	0.983943989933505	0
AAMDC	AAMDC	All Probes;positive regulation of fat cell differentiation	RNA	Endogenous	01	0.976158719310169	0
AAMP	AAMP	All Probes;positive regulation of endothelial cell migration	RNA	Endogenous	01	0.971960467472309	0
AANAT	AANAT	All Probes;hormone biosynthetic process;amine metabolic process	RNA	Endogenous	01	0.992239654753648	0
AAR2	AAR2	All Probes;spliceosomal snRNP assembly	RNA	Endogenous	01	0.959449017564188	0
AARD	AARD	All Probes;lung development	RNA	Endogenous	01	0.954494985677875	0
AARS,AARS1	AARS,AARS1	All Probes	RNA	Endogenous	01	0.975352285258188	0
AARS2	AARS2	All Probes;tRNA modification;mitochondrial RNA metabolic process;amino acid activation	RNA	Endogenous	01	0.9766556564572	0
AARSD1	AARSD1	All Probes;amino acid activation	RNA	Endogenous	01	0.988885038300635	0
AASDH	AASDH	All Probes;neurotransmitter metabolic process;amino acid activation	RNA	Endogenous	01	0.967928916500307	0
AASDHPPT	AASDHPPT	All Probes;water-soluble vitamin metabolic process;cellular amino acid biosynthetic process	RNA	Endogenous	01	0.982915836246073	0
AASS	AASS	All Probes;acyl-CoA metabolic process;alpha-amino acid catabolic process;cellular amino acid biosynthetic process	RNA	Endogenous	01	0.987108832785875	0
AATF	AATF	All Probes;cellular component biogenesis	RNA	Endogenous	01	0.972444878307704	0
AATK	AATK	All Probes	RNA	Endogenous	01	0.488113944943108	0
ABAT	ABAT	All Probes;neurotransmitter metabolic process;positive regulation of nervous system process;negative regulation of response to wounding;regulation of smooth muscle contraction;regulation of coagulation;cellular amino acid biosynthetic process;positive regulation of peptide hormone secretion;regulation of anion transport;regulation of response to drug	RNA	Endogenous	01	0.961874414572051	0
ABCA1	ABCA1	All Probes;membrane invagination;cellular response to alcohol;lysosome organization;cellular response to retinoic acid;protein lipidation;sterol transport;positive regulation of lipid localization;anion homeostasis;sterol homeostasis;phospholipid transport	RNA	Endogenous	01	0.935607930491258	0
ABCA10	ABCA10	All Probes	RNA	Endogenous	01	0.992567095761301	0
ABCA12	ABCA12	All Probes;lung alveolus development;positive regulation of lipid localization;phospholipid transport	RNA	Endogenous	01	0.983614595717668	0
ABCA13	ABCA13	All Probes	RNA	Endogenous	01	0.92763769908702	0
ABCA2	ABCA2	All Probes;cellular component assembly involved in morphogenesis;regulation of receptor-mediated endocytosis;sphingolipid biosynthetic process;regulation of phospholipid metabolic process;regulation of steroid biosynthetic process;negative regulation of lipid metabolic process;negative regulation of intracellular transport;sterol homeostasis	RNA	Endogenous	01	0.591066467823048	0
ABCA3	ABCA3	All Probes	RNA	Endogenous	01	0.981610336867362	0
